,text
650,however short-term rentals are becoming more popular .
651,operating profit improved by 16.7 % to eur 7.7 mn .
652,"based in helsinki , finland , ramirent has branches in 13 nordic , central and eastern european countries ."
653,it moved into the no. 2 spot in 2000 when it merged steel operations with avesta sheffield to form avestapolarit .
654,"about 36 % of this came from aspo chemicals , 39 % from aspo shipping and 25 % from aspo systems ."
655,"for the last quarter of 2010 , componenta 's net sales doubled to eur131m from eur76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of eur7m ."
656,"hkscan , headquartered in turku , finland , is a leading northern european food group with 10,000 employees in nine countries ."
657,"svyturys-utenos alus , which is controlled by the nordic group baltic beverages holding ( bbh ) , posted a 4.7-per-cent growth in beer sales for january-may to 46.22 million litres ."
658,deliveries have started and the network will be ready for a launch soon .
659,the completion of the recycling plant is an important link in the chain of creating a waste management system in the dubna region that meets the eu standards .
660,"finnish geosentric , a developer and provider of solutions , products , and technologies for location based services , has preliminary agreed on a eur 6mn short-term funding with its leading investor ."
661,"the business has sales of about ( euro ) 35 million ( $ 44million ) , and has been responsible for sales and marketing of lanxess 's paper chemicals business , which kemira bought for ( euro ) 88 million early this year ( cw , jan. 11 , p. 22 ) ."
662,"`` we are proud to welcome another distribution facility to north mississippi and the region known as the logistics center of the united states , '' said gray swoope , executive director of mda ."
663,"ragutis , which is controlled by the finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share ."
664,earnings per share eps rose to eur 0.11 from eur 0.03 .
665,"f-secure internet security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities ."
666,panostaja is a financially secure finnish multi-field corporation that creates healthy companies and company entities .
667,- counter your competitor 's strengths and target their weaknesses .
668,the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached eur 141.7 million .
669,the increase range will vary up to 10 % .
670,"since the registration of the shares subscribed in a directed share issue , the new number of panostaja shares and voting rights is 41,733,110 ."
671,"honka 's subsidiaries in france and germany will also benefit by , for example , arranging customer events in conjunction with world cup skiing competitions ."
672,he believes that the soy-oats have a good chance of entering the uk market .
673,the company expects meat purchases to remain at about 8mn kilos in 2011 .
674,"schwalm ( at ) outotec.com eila paatela , vice president - corporate communications tel. +358 20 529 2004 , mobile +358 400 817198 e-mail eila ."
675,"the developers of that project predict that once it is completed in april 2009 , skanssi will attract some 4.5 million visitors annually ."
676,"in november , the finnish government decreased its ownership in the company further to 31.1 percent from 38 percent ."
677,the ` buy ' recommendation was reiterated .
678,"the company operates its business through two reportable segments , including banking and investment services , and non-life insurance ."
679,"`` this is a significant milestone for benefon , helping us to secure critical usp 's for our personal navigation product roadmap for 2007 and beyond , '' commented simon button , chief technology officer at benefon ."
680,"we are honored to be acknowledged for our commitment to the industry , especially in asia pacific . ''"
681,president and ceo mika vehvil+æinen says the positive signs are first and foremost emerging outside finland .
682,"the contract , which was signed yesterday , will run for five years and includes a two-year extension option ."
683,"operating profit for the three-month period increased from eur1 .2 m , while revenue increased from eur20 .2 m , as compared to the corresponding period in 2005 ."
684,"the broker has initiated both palfinger ag and konecranes oyj with ` buy ' recommendations , with 51 and 42 eur price targets respectively ."
685,"following the divestment , fiskars 's outdoor unit will comprise the brands gerber , silva and buster , and will focus on multi-tools , knives , compasses , mobile lighting , pedometers , and aluminium boats ."
686,"in the baltics , the merger of the businesses of the two is expected to be completed in early 2008 ."
687,"finnish high technology provider vaahto group reports net sales of eur 41.8 mn in the accounting period september 2007 - february 2008 , an increase of 11.2 % from a year earlier ."
688,"the market making in accordance with the agreement will begin on september 24 , 2009 ."
689,finnish property investment company citycon plans to issue directed subordinated convertible bonds to institutional investors .
690,"conference call to participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 europe or +1 334-£323-£6201 usa ."
691,"in 2010 , sanoma magazines expects net sales to be at the 2009 level ."
692,"in this way , the industry 's starting point has been the consumers ' needs ."
693,capital base and capital adequacy measurement is based on approaches under basel ii .
694,"the annual general meeting approved a dividend of eur 0.10 per share , that is , a total of eur 7,8 million ."
695,the opening of the portal is part of the expansion strategy of alma media 's marketplaces business unit .
696,the proposal that the board of directors will make at the annual general meeting is attached as a whole to this release .
697,"exel composites ' long-term growth prospects remain favourable , however ."
698,"the 250 sq m 2,691 sq ft store in copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in nordic capitals ."
699,name of company in which holdings have been acquired : citycon oyj 2 .
700,`` management decided at the end of 2005 to increase cathode copper capacity .
701,no pricing details were disclosed .
702,"the fair value of investment properties totalled eur 2,299.9 mn , compared to eur 2,229.5 mn in the corresponding period in 2009 ."
703,"the samsung mobile applications store was launched in january 2009 by samsung mobile innovator , a program which enables mobile software developers to create applications for use across samsung mobile devices ."
704,neither of the companies use genetically engineered soy at the moment .
705,the volumes are expected to increase during the next few years .
706,"at the beginning of the subscription period on may 2 , 2006 the share subscription price under b option right is eur 10.22 per share ."
707,"in 2007 , almost two thirds of orion 's net sales came from these drugs ."
708,"the outsourcing agreement , which covers equipment and depots in turku and tampere , will run for five years , cramo said on thursday ."
709,"the fixed-term contract of mr. jarmo ukonaho , the current general manager of incap 's indian operations , will finish by the end of the year ."
710,"theodosopoulos said tellabs could be of value to nokia siemens or nortel given its `` leading supply status '' with verizon , along with high-growth products ."
711,"according to a report by neomarkka , kuitu finland 's customers are interested in buying the company 's products when it restarts production ."
712,aviation systems maintenance is based in kansas and generated net sales of usd 2.6 million for 2008 .
713,finland 's poyry energy has won a contract to advise builders of a new cogeneration power plant in lithuania 's second-biggest city of kaunas and to supervise the construction process .
714,"the bank of +_land acquired the private banking business , asset management , and share brokerage business of kaupthing sweden in early 2009 ."
715,7 march 2011 - finnish it company digia oyj hel : dig1v announced today an agreement with mobile-phone major nokia oyj hel : nok1v to acquire the commercial licensing and service business related to nokia 's qt technology .
716,it will provide heating in the form of hot water for the sawmill 's needs .
717,"harju elekter was founded in 1968 , and is the leading producer of electrical equipment and materials in the baltic states ."
718,"`` the new structure provides better communication , faster decision-making and cost savings , '' proha said ."
719,elisa will expand the use of this technology provided the pilot proves successful .
720,"under the agreement , pfizer has been funding biotie 's research activities on the pde10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds ."
721,"global sports equipment maker amer sports corp. , whose brands include atomic , salomon and wilson , saw a 64 percent increase in third-quarter net profit to euro 47.4 million $ 65 million on strong sales and cost cuts ."
722,the full-function pc weighs 1.25 kilograms and measures slightly more than two centimeters thin .
723,these measures are expected to produce annual cost savings of eur 1.5 million starting in 2007 .
724,marimekko is considering further measures in the matter .
725,rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its french operations at one site .
726,`` the sale of the oxygen measurement business strengthens our goal to focus on our chosen market segments .
727,it 's not .
728,the vessels are the largest and fastest ropax vessels in the world that will be built by fincantieri .
729,"the planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the roundtable on sustainable palm oil ( rspo ) ."
730,"the relocation of ragot has already started and will be completed in the next few weeks , with the waterqueen and tortue moves planned for mid-2008 and vmc europe during the third quarter of 2008 ."
731,"trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in helsinki tomorrow ."
732,"department store sales improved by 14 % to eur 1,070.6 mn ."
733,tekla will implement the renewal in software versions which will be introduced in spring 2011 .
734,"sales are expected to increase in the end of the year 2006 , however ."
735,"finnish kemira group 's ceo , lasse kurkilahti , says the group 's structural reorganisation will continue for at least a year ."
736,cramo slipped to a pretax loss of eur 6.7 million from a pretax profit of eur 58.9 million .
737,"the group 's consolidated net sales for 2009 totaled 1.5 billion euros and it employs approximately 10,000 persons ."
738,the owners who have participated in the business operations of the company will continue in poyry 's employment after the transaction .
739,the duration of the lay-offs per employee will vary from one to six weeks .
740,"headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement ."
741,"finnish lifting equipment maker kone oyj said on october 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to norwegian shipbuilder aker yards asa ."
742,"according to latest information , benefon will launch its twig device on 20 september 2006 ."
743,"they re in a race with google to get lots of users onto their service as social networking creates new business models , said martin garner , a london-based analyst with ccs insight ."
744,"combining the two producers will create a strong eu-based fertilizer industry capable of meeting global competition , they added ."
745,"foundries division reports its sales increased by 9.7 % to eur 63.1 mn from eur 57.5 mn in the corresponding period in 2006 , and sales of the machine shop division increased by 16.4 % to eur 41.2 mn from eur 35.4 mn in the corresponding period in 2006 ."
746,the volume of investments in the two phases of the project is estimated at usd 300mn ( eur 215.03 mn ) .
747,the veneer and plywood industry in sweden is quite small despite the raw material resources .
748,"they can be used to control the speed of electric motors used by industry and municipal engineering , and in power generation using renewable energy ."
749,"elite residence tower , a new development by tameer , is located at the heart of dubai marina ."
750,sampo plc jarmo salonen head of investor relations and group communications tel. +358 10 516 0030 distribution : nasdaq omx helsinki the principal media financial supervisory authority www.sampo.com this announcement is distributed by thomson reuters on behalf of thomson reuters clients .
751,the insolvency act regulates the amount of debt that borrowers are permitted to write off .
752,"the tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side ."
753,"vaahto , which has entered the deal via its subsidiary vaahto pulp & paper machinery , will supply two of the units in the end of 2010 , while the remaining ones are expected for delivery in the beginning of 2011 ."
754,the eps outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .
755,the actions are expected to deliver annual cost savings of some eur15-20m .
756,the sellers were eoss innovationsmanagement and a group of private individuals .
757,"ahlstrom corporation seppo parvi , cfo distribution : main media www.ahlstrom.com ahlstrom in brief ahlstrom is a global leader in the development , manufacture and marketing of high performance nonwovens and specialty papers ."
758,"in july-september 2008 , yit 's net sales increased to eur 970.8 mn , compared to eur 906.8 mn in the corresponding period in 2007 ."
759,"before kemira 's installation nordalu was producing 3,500 tons of liquid and solid aluminum waste per year ."
760,it has80 branches in finland with annual revenue in finland of ?
761,"in addition to supplying a new headbox and a modern sizing and coating unit , vaahto group will provide erection supervision , training and start-up services ."
762,"both operating profit and net sales for the six-month period increased , respectively from eur18 .1 m and eur127 .6 m , as compared to the corresponding period in 2006 ."
763,an earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on intellibis financial performance in 2007 .
764,telecomworldwire-7 april 2006-tj group plc sells stake in morning digital design oy finnish it company tj group plc said on friday 7 april that it had signed an agreement on selling its shares of morning digital design oy to edita oyj .
765,the company reports a loss for the period of eur 0.4 mn compared to a loss of eur 1.9 mn in the corresponding period in 2005 .
766,"while the company did not indicate the level of investment in the unit , it said that has purchased the equipment of nokia corporation 's mobile phone r&d laboratory in jyvaeskylae ."
767,the customer is local company etera mutual pension insurance co and the principal tenant of the unit will be media company alma media corp hel : aln1v .
768,"through the nordic exchange , omx offers access to approximately 80 percent of the nordic and baltic securities market ."
769,clothing chain sepp+æl+æ 's net sales increased by 7.0 % to eur 30.8 mn .
770,"the remainder of its revenues will come from technology agreements with other firms , interdigital said ."
771,"`` they would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said sunrise valley director andrius bagdonas ."
772,fi is developing cooperation in keyword advertising with microsoft .
773,`` our aim is to understand different traffic patterns based on the use of each building .
774,"vdw combined with lxe devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions ."
775,"according to finnish l+ænnen tehtaat 's ceo matti karppinen , now that l+ænnen tehtaat has sold the majority of its feed and grain business , it will quickly start to look for acquisitions ."
776,"finnish construction group lemminkainen oyj hel : lem1s said today it has won a contract to provide technical services for the nevsky centre shopping mall to be opened in november in st petersburg , russia ."
777,the personnel reductions will primarily affect those working for the parent company in the diagnostics business or in production and logistics in the liquid handling business .
778,the iso certification demonstrates that we are moving forward in our quality commitments to our customers . '
779,fancy dans on the move fab glasgow gift and interiors store fancy dans is moving !
780,"panostaja , headquartered in tampere , finland , is an investment company focusing on small and medium-sized finnish companies operating in the traditional industries ."
781,the group 's revenue in 2008 amounted to eur 94 million and the company currently employs approximately 730 people .
782,"teliasonera s subsidiary , the mobile operator emt in estonia , has created a world s first mobile identification service which makes it possible to vote via a mobile phone ."
783,the business area 's net sales were slightly over 2m in 2006 .
784,"if honkarakenne starts production there , it will need a partner for sawmill operations ."
785,"manavigator-november 1 , 2010-deal snapshot : swedish peab buys equipment rental firm cramo swedish construction company peab ab ( sto : peab b ) announced the acquisition of equipment rental company cramo entreprenadmaskiner ab from finnish group cramo oyj ( hel : cra1v ) ."
786,the sale will lead to a pretax capital gain of eur 22 million for the finnish company in 2011 .
787,finnish bank of +_land 's consolidated net operating profit increased from eur 4.8 mn in the first quarter of 2005 to eur 6.4 mn in the first quarter of 2006 .
788,"in volume , the focus is already outside finland , as 60 % of the group 's products are made in poland and the baltic countries ."
789,the ground barleycorn has been fully produced in finland and will be available in stores as of the beginning of 2010 .
790,salcomp manufacturing oy will pay eur 35 million in cash to salcomp in connection with the implementation of the sale and transfer of the business .
791,the site will cover over six hectares .
792,in q1 2010 18 may 2010 - finnish electrical components maker salcomp oy ( hel : sal1v ) said today it turned to a net profit of eur1 .6 m in the first quarter of 2010 versus a loss of eur2m in the corresponding period last year .
793,"`` each year , personal entertainment plays a more significant role in determining whether a fitness facility 's workout experience is pleasurable or a chore , '' said brian wilson , director of marketing for precor 's entertainment & services division ."
794,"the equipment will be made at vaahto 's plant in hollola in finland , and delivery is scheduled for the first quarter of 2009 ."
795,"as part of the agreement , aspocomp will also give meadville a 10 pct slice of a subsidiary operating in oulu , finland ."
796,"we look forward to take part in the future development of the company , '' says tomas billing , president of nordstjernan ."
797,"in addition , lehdentekijat oy will start producing a new membership magazine , viisas raha ( wise money ) for the association ."
798,"the finnish real estate investment company interavanti oyj said on monday ( 22 september ) that it has agreed to sell its 65 % ownership in the finnish ticket service company lippupiste oy to cts eventim ag ( 56,1 % ) and to the managing director of lippupiste oy ."
799,south african sappi will become the largest foreign forest industry company operating in finland as a result of the acquisition finnish m-real corporation 's graphic papers business unit .
800,"there are companies , which are ready to invest their own funds in this deal such as rostelecom rts : rtkm ."
801,"pretax profit totalled eur 80.8 mn , compared to a loss of eur 13.1 mn in the corresponding period in 2009 ."
802,the potential acquirer is cencorp corporation which is a related entity to sav owing to each of sav and cencorp being a subsidiary of the finnish savcor group oy .
803,"finnish-owned contract manufacturer of electronics elcoteq hungary kft has announced plans to recruit more than 650 new staffers to fulfill new orders in p+_cs , where the company has two plants ."
804,"higher bit rates for outgoing traffic improves the end-user experience of mobile broadband services such as video conferencing , file sharing and sending e-mails with attachments ."
805,under the contract cramo sverige and its subcontractor brinkab ab will provide all scaffolding installations at lkab 's new pellets plant in kiruna in northern sweden .
806,"the store is located in poznan in a shopping center named pestka , the company added ."
807,"benefon , a wireless and gps technology company , will supply karputer with its twig navigation platform , a gps satellite navigation and voice guidance service ."
808,- the group -“ s result before taxes was eur -1.9 ( -3.0 ) million .
809,the first charging stations will be made available already in 2008 and a whole network is to be ready in 2010 .
810,estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .
811,shares of nokia corp. rose thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .
812,ulefos group is the leading supplier of manhole covers in the nordic countries .
813,operating profit rose to eur 13.5 mn from eur 9.7 mn in the corresponding period in 2006 .
814,no financial details were revealed .
815,1 april 2011 - finnish machinery rental company ramirent oyj hel : rmr1v said today it has acquired the assets of sector player stavebni doprava a mechanizace sdm in the czech republic for an undisclosed sum .
816,"the contract includes software licences , application maintenance and training ."
817,"mr. atul chopra , chief operating officer & president , tecnotree elaborated '' i am eager to see the continued success of the former tecnomen , bringing lifetree product to mena , under the tecnotree umbrella ."
818,"nokia said it still expects to sell 150 more million symbian devices in years to come , giving an indication of how it expects the phone 7 handoff to work ."
819,operating profit rose to 22.1 mln eur from 19.9 mln .
820,the deliveries are scheduled for the summer and autumn of 2008 .
821,a plumbing business has announced it is sponsoring a professional darts player .
822,"the expanded agreement covers the sale , marketing and distribution of benefon 's navigation and locator devices in china ."
823,"( adpnews ) - nov 9 , 2009 - four companies have agreed to buy for a combined sek 5.9 billion ( usd 854m-eur 571.8 m ) all drug stores offered for sale as part of the restructuring of swedish stated-owned pharmacy monopoly apoteket ab , t"
824,l&t also acquired a 50 pct stake in local sector company salvor oy at the beginning of september 2007 .
825,"the stena poseidon is a so-called panamax tanker , designed to be able to pass through the narrow passages in the panama canal 's locks ."
826,"geosentric 's flagship product is the gypsii platform , which uses pioneering geo-location software technology to connect people to people , and people to places with new and exciting social community and location-specific services ."
827,"`` it gives us a sense of pride and exposure , '' said bruce hansen , the svh sales representative for wolverine ."
828,it is expected to be completed by the end of 2007 .
829,"in 2007 , huhtamaki will continue to invest in organic growth ."
830,"asimilar agreement was signed between china mobile ltd. ( sehk : 0941 and nyse : chl ) , the largest mobile carrier , and thegps and social networking service provider , promoting gypsii service before beijing 2008 olympic games , according to thelatest news ."
831,"most of the raw materials come from europe and the us and are paid in euros or us dollars , while sales take place in rubles ."
832,"tulikivi manufactures heat-retaining , soapstone and ceramic fireplaces , as well as natural stone products and utility ceramics ."
833,cameco is to provide an upfront investment of up to usd 60mn for the construction of the uranium extraction circuit .
834,"the group also plans to launch the 270 room atria grand , whitefield , a five star luxury hotel , in 2009 ."
835,"the construction of a large woodworking facility in the sheksna district of the vologda region , in northwest russia , will begin in 2009 , and the plant will start production in 2011 ."
836,"alma media corporation press release 15 march 2010 tyrvaan sanomat and paikallissanomat being bought by suomen paikallissanomat two local papers , tyrvaan sanomat and paikallissanomat , appearing in sastamala and its neighbouring municipalities , are to be bought by suomen paikallissanomat oy ."
837,automation makes it possible to conduct several tests simultaneously .
838,"also , technopolis plans to build a 100 million euro technology park at the special economic zone neudorf in st. petersburg , the st. petersburg government said in february ."
839,"net sales by the sata-flexo group came to some eur4 .3 m in 2007 , and the group companies employed a total of 40 people ."
840,"it grew in finland , norway , denmark and the baltic countries ."
841,"purchase it for the 12mp snapper , if nothing else ."
842,"the transaction doubles tecnomens workforse , and adds a fourth to their net sales ."
843,"following the acquisitions , panostaja will establish a new business unit which will focus on heat treatment of metals ."
844,"the executive said that countries such as brazil , chile , argentina and mexico will lead the adoption in the business ethernet services segment , while brazil and mexico will be the early adopters of carrier ethernet for mobile backhaul ."
845,pharmaceuticals - spain this brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in spain .
846,about stonesoft corporation stonesoft corporation ( omx : sft1v ) is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations .
847,catalysts segment includes refinery catalysts and polyolefin catalysts product categories .
848,"according to olvi , the company is already negotiating new agreements ."
849,` pulp and paper industries are growing in countries like china and russia .
850,the company has a wide selection of metal products and services .
851,"via the satlan acquisition , teleste plans to further expand its market presence as a video services partner for cable operators , broadcasters and iptv service providers ."
852,"in accordance with the terms and conditions of alma media 's 2006 option program , the share subscription price for the 2006a option rights was eur 4.88 per share and the book countervalue eur 0.60 per share ."
853,"`` every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said ."
854,"18 may 2010 - finnish electronics producer elcoteq se hel : elqav said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with japan 's sharp tyo : 6753 ."
855,"cdp was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies ."
856,finnish stainless steel manufacturer outokumpu in degefors is planning to recruit new engineers in order to meet a retirement wave over the next few years .
857,rim has revamped the blackberry os ui with the 6.0 version of the mobile operating system .
858,"the ebrd is using its own funds to provide a 21.6 million a loan while the b portion of 10 million euros has been syndicated to two finnish commercial banks , nordea bank finland plc and pohjola bank plc. ."
859,"the recovery of demand that started toward the end of 2009 , continued in january-march 2010 ."
860,"the approximately 20,000 dwt vessel has been ordered from india ."
861,"the city will invite , however , a public procurement tender for the tailor-made public furniture , such as park benches , litter receptacles , public toilets , as well as bus shelters , street lights , and other ."
862,"berling capital , umo capital and veikko laine are the biggest shareholders in amanda capital ."
863,"the decision of tekes was based on , among other , the following grounds : the project has a significant impact on the business development of the company ."
864,the goal will be achieved via organic growth possibly supplemented by acquisitions .
865,the contract is worth some eur 1 million .
866,"pre-tax profit totaled eur 397.4 mn , up from eur 164.7 mn ."
867,precedex is approved for iv sedation of initially intubated and mechanically ventilated patients in intensive care .
868,finnish rautaruukki has been awarded a contract to supply and install steel superstructures for the partihallsf+¦rbindelsen bridge in gothenburg in sweden .
869,the value of the deal was not disclosed .
870,"vaisala 's present weather detector measures visibility up to 20 km , as well as precipitation type and intensity ."
871,the value of the multi-year agreement is over eur 2mn a year .
872,these share transactions are part of the company 's strategy of relinquishing assets that are not part of its core business .
873,"it is profitable to make pulp , paper , and sawn goods in areas where the combination of these factors is good ."
874,"s&p has kept its `` sell '' rating , while nordea and ubs have reaffirmed their `` buy '' recommendations ."
875,pharmaceuticals - belgium this brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in belgium .
876,"the total floor area of the plant expansion is 29,000 square metres ."
877,"rapala vmc corporation rapala , a leading fishing tackle and sporting goods manufacturer and distributor , is the main owner of peltonen with its 80 % shareholding ."
878,"aspocomp group , headquartered in helsinki , finland , develops interconnection solutions for the electronics industry ."
879,the company also said that the deployment of the danish 4g network continues and it expects to cover 75 % of the danish population in 2011 .
880,the value of the order is eur 4mn .
881,the four-year contract between the bank and ski sport finland will bring the bank 's advertisements to skiers helmets and caps .
882,"at first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) ."
883,"mr priit kasak , balti metsamasina 's owner , said the rakvere-based company wishes to increase valmet 's market share from 27 % to a third in a couple of years ."
884,"outokumpu of finland , stainless steel manufacturer , plans to enter into a supply agreement with the indian railways ."
885,"as earlier reported , nokian tyres is building a plant in the town of vsevolozhsk in russia 's leningrad region with an annual production capacity of 4 million tires ."
886,the cranes would be installed onboard two freighters ordered by singaporean ship owner masterbulk .
887,"following the impact , the altima hit a utility pole , causing a live electric line to fall onto the roadway ."
888,"proline plus is available in both adjustable single and multichannel models and fixed volume single-channel models , in volume ranges from 0.1 micro litres to 10 ml ."
889,stora enso will receive a 19.9 pct equity interest in the combined company .
890,"the estimated value of the contract is eur12 .4 m. vaisala , headquartered in helsinki in finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry ."
891,"viking line 's cargo revenue increased by 5.4 % to eur 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units ."
892,"galeria podlaska , a shopping mall on wysockiego street in bia ` ystok , is approximately 60-percent leased or reserved ."
893,"includes company and brand share data by category , as well as distribution channel data ."
894,"sysopen digia plc , press release , 7 february 2006 ibm finland has rewarded its most distinguished partner companies for 2005 ."
895,viking line head jan kaarstroem told tt that his company 's ferries were well equipped to handle ice and that all the passengers were safe .
896,"furthermore , novator finland oy has entered into a securities lending agreement , whereby novator finland oy will hold directly the same amount of shares that are underlying of the omx market forwards from may 23 through may 26 , 2008 ."
897,"it is a member of the oneworld alliance , which includes american airlines and british airways ."
898,"back then , tikkurila 's former owner , finnish chemicals company kemira oyj hel : kra1v , distributed an 86 % stake to kemira shareholders to facilitate the divestment and listing of tikkurila ."
899,"the company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier ."
900,the new units should become one of the largest ones within the company .
901,in july it and quadriga capital sold their lewa gmbh pump-making business to japan 's nikkiso co. .
902,"economic development in china is no longer taking place only on the east coast and in the shanghai area , vauramo says ."
903,`` these developments partly reflect the government 's higher activity in the field of dividend policy . ''
904,the closing of such transaction took place today .
905,sales increased due to growing market rates and increased operations .
906,"auburn 's sales in 2007 were cad 41 million ( approximately eur 27 million ) , and the company employs some 150 people ."
907,"meanwhile , nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout ."
908,operating loss increased to eur 17mn from a loss of eur 10.8 mn in 2005 .
909,the financial statements release will be available after publishing on the company 's internet pages at www.cargotec.com .
910,the mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line .
911,"`` after this purchase , cramo will become the second largest rental services provider in the latvian market ."
912,"adjusted for changes in the group structure , the division 's net sales increased by 1.7 % ."
913,niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .
914,"the total investment in the vantaa plant extension will amount to around 10 million euro , and okmetic 's share of the investments will be worth around 2.7 million ."
915,the concept enables a commercially affordable way to manufacture high-quality tco coated glass for the solar industry .
916,"von koskull will oversee a new unit of nordea , which brings together corporate merchant banking , financial institutions and capital markets products divisions ."
917,absolut bank is exploring the possibility of further borrowing .
918,"manavigator-september 7 , 2010-kemira unveils indian jv with ivrcl finnish chemicals group kemira ( hel : kra1v ) on tuesday announced it has inked a deal to form a joint venture in india with local construction firm ivrcl infrastructure and projects ltd ( bom :530773 ) ."
919,upm-kymmene is working closely with its shipping agents to reduce fuel consumption and greenhouse gas emissions .
920,"kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers ."
921,"scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in oulu , in finland , to lay off staff temporarily ."
922,"stockholm , 3 march 2011 about cybercom the cybercom group is a high-tech consultancy that offers global sourcing for end-to-end solutions ."
923,the swedish player became majority owner of ucell in mid-2007 .
924,"published by globes online , israel business news - www.globes-online.com - on november 16 , 2009 -_ copyright of globes publisher itonut 1983 ltd. 2009"
925,m+ækel+æ is demanding a new board for the company as well as discussions on the merger of alma media and media company talentum .
926,"after the reporting period , biotie north american licensing partner somaxon pharmaceuticals announced positive results with nalmefene in a pilot phase 2 clinical trial for smoking cessation ."
927,the deal strengthens ramirent 's position especially in the industrial sector and in large investment projects .
928,"production facilities 6 july 2010 - finnish investment group neomarkka oyj ( hel : nembv ) said today that it will buy the former production facilities of kuitu finland ltd , as part of negotiations on the option to invest in specialty cellulose fiber business ."
929,decisions are to be made as quickly as possible .
930,arena partners oy is a development company for electronic business .
931,ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .
932,"the outsourced scan and capture solutions transfer paper invoices into electronic format , and basware business transactions service allows the customer to receive and send invoices in an electronic format ."
933,"eq bank forecasts olvi 's net sales at eur 67mn in the second quarter of 2009 , and operating profit at eur 6.4 mn ."
934,"adp news - nov 6 , 2008 - finnish retail software developer aldata solution oyj omx : ald1v said today that it swung to a net profit of eur 2.1 million usd 2.7 m for the first nine months of 2008 versus a net loss of eu"
935,"tieto in latvia is represented by it services companies tietoenator alise and tietoenator , which has operations in the industries of financial services cards , retail and logistics and it outsourcing and managed services ."
936,"`` thanks to my nokia and lulu , i am now proud to be a published his novel can be found here ."
937,finnish plastic pipe maker uponor is selling its irish and uk infrastructure businesses to private equity company 3i .
938,"the change in holdings in accordance with chapter 2 , section 9 of the finnish securities markets act is described below ."
939,"the new company will buy from baltic pearl cjsc a lease right to 8.1 hectares for the construction of a mall with a gross area of 140,000 sq m 1.5 million sq ft ."
940,the finnish group anticipates a sales gain of eur42m after tax and expenses .
941,the companies signed the letter of intent for the sale on 17 september 2010 and envisaged to seal the actual agreement on 1 january 2011 .
942,other shareholder entitlements became effective today .
943,"the board established a remuneration committee with following members : - sari baldauf chairman - tapio hintikka - heikki westerlund in addition , the board decided to appoint a nomination committee at a later stage ."
944,this amount will not be included in the pensionable salary .
945,gearing was 43 % compared to 67 % in 2004 .
946,"the company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year ."
947,the group said it intends to initiate within this year the process of buyout of minority shareholders of ragutis with the aim of becoming the sole owner of the company .
948,"employees are also better prepared to answer calls , since they already have detailed information about the caller before they answer the phone . ''"
949,the company will propose a dividend of eur0 .12 per share for 2008 .
